Protein	Protein ID	Entry Name	Gene	Description	14WIS Spectral Count	14WS Spectral Count	34WIS Spectral Count	34WS Spectral Count	39WIS Spectral Count	39WS Spectral Count	46WIS Spectral Count	46WS Spectral Count	55WIS Spectral Count	55WS Spectral Count	61WIS Spectral Count	61WS Spectral Count	80WIS Spectral Count	80WS Spectral Count	82WIS Spectral Count	82WS Spectral Count
tr|F6XTP2|F6XTP2_MACMU	F6XTP2	F6XTP2_MACMU	MRE11	Double-strand break repair protein	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0
tr|F7BS38|F7BS38_MACMU	F7BS38	F7BS38_MACMU	SNX18	Sorting nexin 18	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0
tr|A0A5F7ZLJ2|A0A5F7ZLJ2_MACMU	A0A5F7ZLJ2	A0A5F7ZLJ2_MACMU	PHLDB2	Pleckstrin homology like domain family B member 2	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0
tr|F6TIP7|F6TIP7_MACMU	F6TIP7	F6TIP7_MACMU	TP53BP2	Tumor protein p53 binding protein 2	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0
tr|A0A1D5R2I9|A0A1D5R2I9_MACMU	A0A1D5R2I9	A0A1D5R2I9_MACMU	TMIGD2	Transmembrane and immunoglobulin domain containing 2	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0
sp|A3RLD7|CRGB_MACMU	A3RLD7	CRGB_MACMU	CRYGB	Gamma-crystallin B	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
tr|A0A5F8A2S3|A0A5F8A2S3_MACMU	A0A5F8A2S3	A0A5F8A2S3_MACMU		Uncharacterized protein	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0
tr|A0A5F8A465|A0A5F8A465_MACMU	A0A5F8A465	A0A5F8A465_MACMU	FLG2	Filaggrin 2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
tr|A0A5F8A8V1|A0A5F8A8V1_MACMU	A0A5F8A8V1	A0A5F8A8V1_MACMU	ARPC1A	Actin related protein 2/3 complex subunit 1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
tr|F6YD24|F6YD24_MACMU	F6YD24	F6YD24_MACMU		Peptidyl-prolyl cis-trans isomerase	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0
tr|H9G201|H9G201_MACMU	H9G201	H9G201_MACMU	GRHPR	Glyoxylate and hydroxypyruvate reductase	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0
tr|H9YWZ7|H9YWZ7_MACMU	H9YWZ7	H9YWZ7_MACMU	SERPINB8	Serpin B8 isoform a	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0
tr|F6QVM3|F6QVM3_MACMU	F6QVM3	F6QVM3_MACMU	WARS1	"Tryptophan--tRNA ligase, cytoplasmic"	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0
tr|A0A1D5R9J9|A0A1D5R9J9_MACMU	A0A1D5R9J9	A0A1D5R9J9_MACMU	NME3	Nucleoside diphosphate kinase	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0
tr|F7ET91|F7ET91_MACMU	F7ET91	F7ET91_MACMU	ATP9B	Phospholipid-transporting ATPase	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0
tr|F7D1M0|F7D1M0_MACMU	F7D1M0	F7D1M0_MACMU	PPP1CB	Serine/threonine-protein phosphatase	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
tr|F7FIF8|F7FIF8_MACMU	F7FIF8	F7FIF8_MACMU	PRDX4	Peroxiredoxin 4	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1
tr|A0A5F7Z7D4|A0A5F7Z7D4_MACMU	A0A5F7Z7D4	A0A5F7Z7D4_MACMU		"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
tr|F7B4P4|F7B4P4_MACMU	F7B4P4	F7B4P4_MACMU	GPR37	G protein-coupled receptor 37	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1
CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN	"CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN KERATIN, TYPE II CYTOSKELETAL 6B (CYTOKERATIN 6B) (CK 6B) (K6B KERATIN) [Homo sapiens]."	"CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN KERATIN, TYPE II CYTOSKELETAL 6B (CYTOKERATIN 6B) (CK 6B) (K6B KERATIN) [Homo sapiens]."		"CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN KERATIN, TYPE II CYTOSKELETAL 6B (CYTOKERATIN 6B) (CK 6B) (K6B KERATIN) [Homo sapiens]."	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1
tr|A0A1D5QBV9|A0A1D5QBV9_MACMU	A0A1D5QBV9	A0A1D5QBV9_MACMU	CDKL3	Serine/threonine-protein phosphatase	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0
tr|A0A1D5R5D2|A0A1D5R5D2_MACMU	A0A1D5R5D2	A0A1D5R5D2_MACMU	SCRN1	Secernin 1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0
tr|F7E2U2|F7E2U2_MACMU	F7E2U2	F7E2U2_MACMU	CLIC5	Chloride intracellular channel protein	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
tr|F6PQH0|F6PQH0_MACMU	F6PQH0	F6PQH0_MACMU	AARSD1	Alanyl-tRNA synthetase domain containing 1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0
tr|H9EMZ8|H9EMZ8_MACMU	H9EMZ8	H9EMZ8_MACMU	CLIC1	Chloride intracellular channel protein	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0
tr|H9ESB9|H9ESB9_MACMU	H9ESB9	H9ESB9_MACMU	LIMK1	LIM domain kinase 1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0
tr|H9H4B1|H9H4B1_MACMU	H9H4B1	H9H4B1_MACMU	GLTP	Glycolipid transfer protein	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0
tr|F6ZQ85|F6ZQ85_MACMU	F6ZQ85	F6ZQ85_MACMU	NDUFB5	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial"	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0
tr|H9YUS5|H9YUS5_MACMU	H9YUS5	H9YUS5_MACMU	APTX	Aprataxin	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0
tr|F6Z8L2|F6Z8L2_MACMU	F6Z8L2	F6Z8L2_MACMU	PPP5C	Serine/threonine-protein phosphatase	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
CONT_076|gi|125083|sp|P05783|K1CR_HUMAN	"CONT_076|gi|125083|sp|P05783|K1CR_HUMAN KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens]."	"CONT_076|gi|125083|sp|P05783|K1CR_HUMAN KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens]."		"CONT_076|gi|125083|sp|P05783|K1CR_HUMAN KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens]."	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
tr|A0A1D5QX81|A0A1D5QX81_MACMU	A0A1D5QX81	A0A1D5QX81_MACMU		Elongation factor 1-gamma	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
tr|A0A1D5R5K5|A0A1D5R5K5_MACMU	A0A1D5R5K5	A0A1D5R5K5_MACMU	COL1A2	Collagen type I alpha 2 chain	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
tr|A0A5F7ZDQ7|A0A5F7ZDQ7_MACMU	A0A5F7ZDQ7	A0A5F7ZDQ7_MACMU	UPP1	Uridine phosphorylase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
tr|F6YXH7|F6YXH7_MACMU	F6YXH7	F6YXH7_MACMU	TNPO2	Transportin 2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
tr|F7B8E3|F7B8E3_MACMU	F7B8E3	F7B8E3_MACMU	CPS1	Carbamoyl-phosphate synthase 1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|F7FRC4|F7FRC4_MACMU	F7FRC4	F7FRC4_MACMU	USH2A	Usherin	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
tr|A0A1D5Q8A4|A0A1D5Q8A4_MACMU	A0A1D5Q8A4	A0A1D5Q8A4_MACMU	TWF1	Twinfilin actin binding protein 1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
tr|A0A1D5QHK7|A0A1D5QHK7_MACMU	A0A1D5QHK7	A0A1D5QHK7_MACMU		Peptidyl-prolyl cis-trans isomerase	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
tr|A0A1D5QZ91|A0A1D5QZ91_MACMU	A0A1D5QZ91	A0A1D5QZ91_MACMU	MAPK3	Mitogen-activated protein kinase	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
tr|F6QJD8|F6QJD8_MACMU	F6QJD8	F6QJD8_MACMU	S100A8	Protein S100	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
tr|F6WFH5|F6WFH5_MACMU	F6WFH5	F6WFH5_MACMU	DBN1	Drebrin 1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
tr|F6PYE7|F6PYE7_MACMU	F6PYE7	F6PYE7_MACMU	FASN	Fatty acid synthase	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
tr|F7ELD6|F7ELD6_MACMU	F7ELD6	F7ELD6_MACMU	TUFM	Elongation factor Tu	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
tr|A0A1D5Q7A7|A0A1D5Q7A7_MACMU	A0A1D5Q7A7	A0A1D5Q7A7_MACMU	EIF3L	Eukaryotic translation initiation factor 3 subunit L	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
tr|A0A5F8A0E8|A0A5F8A0E8_MACMU	A0A5F8A0E8	A0A5F8A0E8_MACMU	RUNX2	RUNX family transcription factor 2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
tr|F6ZGL8|F6ZGL8_MACMU	F6ZGL8	F6ZGL8_MACMU	PPCS	Phosphopantothenoylcysteine synthetase	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
tr|F7CTK0|F7CTK0_MACMU	F7CTK0	F7CTK0_MACMU	ETF1	Eukaryotic peptide chain release factor subunit 1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
tr|A0A5F7ZA76|A0A5F7ZA76_MACMU	A0A5F7ZA76	A0A5F7ZA76_MACMU	EIF5A	Translation elongation factor IF5A C-terminal domain-containing protein	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
tr|F7F354|F7F354_MACMU	F7F354	F7F354_MACMU	CDC42EP4	CDC42 effector protein 4	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
tr|G7NKH7|G7NKH7_MACMU	G7NKH7	G7NKH7_MACMU	OSBPL1A	Oxysterol-binding protein	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
tr|A0A1D5R762|A0A1D5R762_MACMU	A0A1D5R762	A0A1D5R762_MACMU	MPRIP	Myosin phosphatase Rho interacting protein	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
sp|Q9N0Y0|VAMP2_MACMU	Q9N0Y0	VAMP2_MACMU	VAMP2	Vesicle-associated membrane protein 2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
tr|A0A5F8ACE6|A0A5F8ACE6_MACMU	A0A5F8ACE6	A0A5F8ACE6_MACMU	HBS1L	HBS1-like protein	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
tr|F6T4D4|F6T4D4_MACMU	F6T4D4	F6T4D4_MACMU	PDIA6	Protein disulfide-isomerase A6	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
tr|F7B9I1|F7B9I1_MACMU	F7B9I1	F7B9I1_MACMU	SYPL1	Synaptophysin like 1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
tr|F6WWI3|F6WWI3_MACMU	F6WWI3	F6WWI3_MACMU	FBXL8	F-box and leucine rich repeat protein 8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
tr|A0A1D5QP18|A0A1D5QP18_MACMU	A0A1D5QP18	A0A1D5QP18_MACMU	RAB4A	Ras-related protein Rab-4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
tr|F7HHF9|F7HHF9_MACMU	F7HHF9	F7HHF9_MACMU		AAA+ ATPase domain-containing protein	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
tr|A0A5F7ZEI3|A0A5F7ZEI3_MACMU	A0A5F7ZEI3	A0A5F7ZEI3_MACMU	SLC25A6	ADP/ATP translocase	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
tr|F7AEK9|F7AEK9_MACMU	F7AEK9	F7AEK9_MACMU	KRT2	Keratin 2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CONT_124|gi|105815|pir||A34720	CONT_124|gi|105815|pir||A34720 cytokeratin 8 (version 2) [Homo sapiens].	CONT_124|gi|105815|pir||A34720 cytokeratin 8 (version 2) [Homo sapiens].		CONT_124|gi|105815|pir||A34720 cytokeratin 8 (version 2) [Homo sapiens].	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A1D5QF17|A0A1D5QF17_MACMU	A0A1D5QF17	A0A1D5QF17_MACMU	MTHFD1	"C-1-tetrahydrofolate synthase, cytoplasmic"	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
tr|G7MKT4|G7MKT4_MACMU	G7MKT4	G7MKT4_MACMU	LMCD1	LIM and cysteine rich domains 1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
tr|F7DBX8|F7DBX8_MACMU	F7DBX8	F7DBX8_MACMU	XPOT	Exportin-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
tr|H9G2J6|H9G2J6_MACMU	H9G2J6	H9G2J6_MACMU	RUSC2	Iporin	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|F6X804|F6X804_MACMU	F6X804	F6X804_MACMU	ASCC3	Activating signal cointegrator 1 complex subunit 3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
tr|A0A1D5Q7K8|A0A1D5Q7K8_MACMU	A0A1D5Q7K8	A0A1D5Q7K8_MACMU	PPP2R2A	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
tr|F7BLI4|F7BLI4_MACMU	F7BLI4	F7BLI4_MACMU	ZNF318	Zinc finger protein 318	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CONT_070|gi|547752|sp|Q01546|K22O_HUMAN	"CONT_070|gi|547752|sp|Q01546|K22O_HUMAN KERATIN, TYPE II CYTOSKELETAL 2 ORAL (CYTOKERATIN 2P) (K2P) (CK 2P) [Homo sapiens]."	"CONT_070|gi|547752|sp|Q01546|K22O_HUMAN KERATIN, TYPE II CYTOSKELETAL 2 ORAL (CYTOKERATIN 2P) (K2P) (CK 2P) [Homo sapiens]."		"CONT_070|gi|547752|sp|Q01546|K22O_HUMAN KERATIN, TYPE II CYTOSKELETAL 2 ORAL (CYTOKERATIN 2P) (K2P) (CK 2P) [Homo sapiens]."	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|F7H0D2|F7H0D2_MACMU	F7H0D2	F7H0D2_MACMU	PGK2	Phosphoglycerate kinase	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
tr|F7H7V0|F7H7V0_MACMU	F7H7V0	F7H7V0_MACMU	JUP	Junction plakoglobin	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
tr|H9FU81|H9FU81_MACMU	H9FU81	H9FU81_MACMU	KPNA3	Importin subunit alpha	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
tr|A0A5F7ZG57|A0A5F7ZG57_MACMU	A0A5F7ZG57	A0A5F7ZG57_MACMU	PSMC6	AAA+ ATPase domain-containing protein	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
tr|A0A1D5QB17|A0A1D5QB17_MACMU	A0A1D5QB17	A0A1D5QB17_MACMU	ROBO1	Roundabout guidance receptor 1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
tr|H9FTQ2|H9FTQ2_MACMU	H9FTQ2	H9FTQ2_MACMU	ANXA7	Annexin	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
tr|A0A5F7ZQM9|A0A5F7ZQM9_MACMU	A0A5F7ZQM9	A0A5F7ZQM9_MACMU	PSMB8	ABC-type antigen peptide transporter	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
tr|A0A5F8A945|A0A5F8A945_MACMU	A0A5F8A945	A0A5F8A945_MACMU	MTOR	Serine/threonine-protein kinase mTOR	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
tr|F7FWX5|F7FWX5_MACMU	F7FWX5	F7FWX5_MACMU	MED13L	Mediator of RNA polymerase II transcription subunit 13	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
tr|A0A1D5R531|A0A1D5R531_MACMU	A0A1D5R531	A0A1D5R531_MACMU	TENM1	Teneurin transmembrane protein 1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|G7NC55|G7NC55_MACMU	G7NC55	G7NC55_MACMU	DPP3	Dipeptidyl peptidase 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
tr|F7HBB4|F7HBB4_MACMU	F7HBB4	F7HBB4_MACMU	GRID1	Glutamate receptor	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
tr|A0A5F7ZPT5|A0A5F7ZPT5_MACMU	A0A5F7ZPT5	A0A5F7ZPT5_MACMU	TNK2	non-specific protein-tyrosine kinase	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr|F7D337|F7D337_MACMU	F7D337	F7D337_MACMU	TSGA10IP	Testis specific 10 interacting protein	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
CONT_014|gi|114054|sp|P15636|API_ACHLY	CONT_014|gi|114054|sp|P15636|API_ACHLY PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	CONT_014|gi|114054|sp|P15636|API_ACHLY PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].		CONT_014|gi|114054|sp|P15636|API_ACHLY PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A5F8A0W0|A0A5F8A0W0_MACMU	A0A5F8A0W0	A0A5F8A0W0_MACMU	LOC106992358	Uncharacterized protein	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
tr|F6RNV8|F6RNV8_MACMU	F6RNV8	F6RNV8_MACMU		EF-hand calcium binding domain 14	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
tr|F6WDI3|F6WDI3_MACMU	F6WDI3	F6WDI3_MACMU	STC2	Stanniocalcin 2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
tr|F7EKM6|F7EKM6_MACMU	F7EKM6	F7EKM6_MACMU	LOC693438	"60 kDa heat shock protein, mitochondrial"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr|F7FBX6|F7FBX6_MACMU	F7FBX6	F7FBX6_MACMU	CTNNA3	Catenin alpha-3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
tr|H9EPD6|H9EPD6_MACMU	H9EPD6	H9EPD6_MACMU	VPS26A	"VPS26, retromer complex component A"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
tr|H9EXZ8|H9EXZ8_MACMU	H9EXZ8	H9EXZ8_MACMU	TMEM14B	Transmembrane protein 14B isoform a	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sp|Q5TM17|DX39B_MACMU	Q5TM17	DX39B_MACMU	DDX39B	Spliceosome RNA helicase DDX39B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tr|A0A1D5QHT8|A0A1D5QHT8_MACMU	A0A1D5QHT8	A0A1D5QHT8_MACMU	TKFC	Triokinase/FMN cyclase	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
tr|A0A5F7Z7H8|A0A5F7Z7H8_MACMU	A0A5F7Z7H8	A0A5F7Z7H8_MACMU	CARD11	Caspase recruitment domain family member 11	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
sp|O62675|IL16_MACMU	O62675	IL16_MACMU	IL16	Pro-interleukin-16	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
tr|A0A5F7ZF69|A0A5F7ZF69_MACMU	A0A5F7ZF69	A0A5F7ZF69_MACMU	NFASC	Neurofascin	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
tr|F6S7A0|F6S7A0_MACMU	F6S7A0	F6S7A0_MACMU	S100G	Protein S100	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
tr|A0A5F8AFZ6|A0A5F8AFZ6_MACMU	A0A5F8AFZ6	A0A5F8AFZ6_MACMU	SBSN	Suprabasin	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|F6W428|F6W428_MACMU	F6W428	F6W428_MACMU	PALS2	"Protein associated with LIN7 2, MAGUK p55 family member"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
tr|F7BNF1|F7BNF1_MACMU	F7BNF1	F7BNF1_MACMU	SI	Sucrase-isomaltase	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
tr|I0FUR4|I0FUR4_MACMU	I0FUR4	I0FUR4_MACMU	HSP90B1	Endoplasmin	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|F7EWT5|F7EWT5_MACMU	F7EWT5	F7EWT5_MACMU	KLB	Klotho beta	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr|A0A1D5QEG3|A0A1D5QEG3_MACMU	A0A1D5QEG3	A0A1D5QEG3_MACMU	CLUH	Clustered mitochondria protein homolog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tr|I2CYF0|I2CYF0_MACMU	I2CYF0	I2CYF0_MACMU	ACTR2	Actin related protein 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
tr|A0A5F7ZZM6|A0A5F7ZZM6_MACMU	A0A5F7ZZM6	A0A5F7ZZM6_MACMU	NUMA1	Nuclear mitotic apparatus protein 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tr|F7C3R1|F7C3R1_MACMU	F7C3R1	F7C3R1_MACMU	HSPA5	78 kDa glucose-regulated protein	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|F7FSZ5|F7FSZ5_MACMU	F7FSZ5	F7FSZ5_MACMU	ASPSCR1	"ASPSCR1 tether for SLC2A4, UBX domain containing"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tr|A0A1D5QUC9|A0A1D5QUC9_MACMU	A0A1D5QUC9	A0A1D5QUC9_MACMU	TBC1D2B	TBC1 domain family member 2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
tr|A0A1D5Q2N4|A0A1D5Q2N4_MACMU	A0A1D5Q2N4	A0A1D5Q2N4_MACMU	PTBP1	Polypyrimidine tract-binding protein 1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|F7BTA1|F7BTA1_MACMU	F7BTA1	F7BTA1_MACMU	KMT2B	Histone-lysine N-methyltransferase	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr|F7FM35|F7FM35_MACMU	F7FM35	F7FM35_MACMU	PLIN4	Perilipin 4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr|F7GPE6|F7GPE6_MACMU	F7GPE6	F7GPE6_MACMU	HNRNPA3	Heteroous nuclear ribonucleoprotein A3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tr|F7GWK4|F7GWK4_MACMU	F7GWK4	F7GWK4_MACMU	TBC1D10C	Carabin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
tr|A0A5F8APG7|A0A5F8APG7_MACMU	A0A5F8APG7	A0A5F8APG7_MACMU	FYCO1	FYVE and coiled-coil domain autophagy adaptor 1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|F7EHB8|F7EHB8_MACMU	F7EHB8	F7EHB8_MACMU	ZSCAN16	Zinc finger and SCAN domain containing 16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A1D5RF84|A0A1D5RF84_MACMU	A0A1D5RF84	A0A1D5RF84_MACMU	FAM193A	Family with sequence similarity 193 member A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A1D5R5B7|A0A1D5R5B7_MACMU	A0A1D5R5B7	A0A1D5R5B7_MACMU	BCL9L	BCL9 like	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr|A0A1D5RDG7|A0A1D5RDG7_MACMU	A0A1D5RDG7	A0A1D5RDG7_MACMU	COL6A6	Collagen type VI alpha 6 chain	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
tr|H9FU41|H9FU41_MACMU	H9FU41	H9FU41_MACMU	ITPR2	"Inositol 1,4,5-trisphosphate receptor"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
tr|F7HCW0|F7HCW0_MACMU	F7HCW0	F7HCW0_MACMU	PLIN5	Perilipin	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
tr|A0A5F7Z6W4|A0A5F7Z6W4_MACMU	A0A5F7Z6W4	A0A5F7Z6W4_MACMU	ZNF804B	Zinc finger protein 804B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
tr|F7B749|F7B749_MACMU	F7B749	F7B749_MACMU	CPN2	Carboxypeptidase N subunit 2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
tr|F7FJT1|F7FJT1_MACMU	F7FJT1	F7FJT1_MACMU	TGM1	Transglutaminase 1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
sp|Q8HZ64|TAAR1_MACMU	Q8HZ64	TAAR1_MACMU	TAAR1	Trace amine-associated receptor 1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
tr|A0A1D5QGM9|A0A1D5QGM9_MACMU	A0A1D5QGM9	A0A1D5QGM9_MACMU	HSPA12A	Heat shock protein family A (Hsp70) member 12A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
tr|A0A5F7ZAH7|A0A5F7ZAH7_MACMU	A0A5F7ZAH7	A0A5F7ZAH7_MACMU	LOC708874	Metallothionein	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
tr|A0A5F7ZTH7|A0A5F7ZTH7_MACMU	A0A5F7ZTH7	A0A5F7ZTH7_MACMU		Tropomyosin alpha-3 chain	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
tr|A0A5F8AJF9|A0A5F8AJF9_MACMU	A0A5F8AJF9	A0A5F8AJF9_MACMU	LOC711939	Contactin-associated protein-like 3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
